Source Language,Target Language,Distance,POS distribution similarity,Inflection shape similarity,Fusion similarity,N category overlap,V category overlap,ADJ category overlap,Source Language Baseline Accuracy (soft),Baseline Accuracy (soft),Transfer Accuracy (soft),Accuracy Improvement (soft),Source Language Baseline Levenshtein (soft),Baseline Levenshtein (soft),Transfer Levenshtein (soft),Levenshtein Improvement (soft),Source Language Baseline Accuracy (hard),Baseline Accuracy (hard),Transfer Accuracy (hard),Accuracy Improvement (hard),Source Language Baseline Levenshtein (hard),Baseline Levenshtein (hard),Transfer Levenshtein (hard),Levenshtein Improvement (hard)
Bashkir,Arabic,Unrelated,0.472,0.606,0.014,0.46,0.0,0.43,0.348,0.105,0.185,0.08,1.963,4.21,4.15,0.06,0.745,0.149,0.2,0.051,0.6975,3.82,3.61,0.21
Basque,Arabic,Unrelated,0.424,0.802,0.037,0.0,0.09,0.0,0.062,0.105,0.009,-0.096,4.008,4.21,6.47,-2.26,0.037,0.149,0.014,-0.135,4.4125,3.82,6.05,-2.23
Czech,Arabic,Unrelated,0.78,0.689,0.194,0.31,0.5,0.39,0.164,0.105,0.179,0.074,2.8335,4.21,4.3,-0.09,0.214,0.149,0.326,0.177,2.5675,3.82,2.88,0.95
Estonian,Arabic,Unrelated,0.86,0.828,0.252,0.23,0.46,0.0,0.233,0.105,0.174,0.069,2.7765,4.21,3.97,0.24,0.16,0.149,0.431,0.282,2.984,3.82,2.2,1.62
Georgian,Arabic,Unrelated,0.503,0.716,0.248,0.25,0.5,0.24,0.184,0.105,0.09,-0.015,2.7265,4.21,5.12,-0.91,0.435,0.149,0.064,-0.085,1.644,3.82,4.69,-0.87
Hebrew,Arabic,Closely related,0.694,0.831,0.252,0.26,0.39,0.0,0.203,0.105,0.193,0.088,1.9375,4.21,3.12,1.09,0.23,0.149,0.278,0.129,1.8255,3.82,2.66,1.16
Navajo,Arabic,Unrelated,0.545,0.73,0.47,0.0,0.18,0.0,0.103,0.105,0.316,0.211,4.4965,4.21,2.7,1.51,0.12,0.149,0.207,0.058,4.242,3.82,3.24,0.58
Quechua,Arabic,Unrelated,0.728,0.584,0.112,0.17,0.28,0.12,0.423,0.105,0.241,0.136,2.724,4.21,3.21,1.0,0.248,0.149,0.442,0.293,3.6765,3.82,2.26,1.56
Spanish,Arabic,Unrelated,0.424,0.704,0.391,0.0,0.52,0.0,0.201,0.105,0.265,0.16,2.9405,4.21,3.18,1.03,0.359,0.149,0.365,0.216,1.9515,3.82,2.19,1.63
Swedish,Arabic,Unrelated,0.804,0.627,0.187,0.45,0.27,0.25,0.36,0.105,0.198,0.093,1.8325,4.21,4.42,-0.21,0.489,0.149,0.232,0.083,1.382,3.82,3.15,0.68
Zulu,Arabic,Unrelated,0.853,0.462,0.307,0.07,0.21,0.07,0.043,0.105,0.117,0.012,3.589,4.21,4.16,0.05,0.041,0.149,0.213,0.064,3.5145,3.82,3.04,0.78
Arabic,Bashkir,Unrelated,0.472,0.606,0.014,0.46,0.0,0.43,0.105,0.348,0.372,0.024,4.2105,1.96,1.77,0.19,0.149,0.745,0.909,0.164,3.8215,0.7,0.2,0.5
Basque,Bashkir,Unrelated,0.0,0.46,0.0,0.0,0.0,0.0,0.062,0.348,0.356,0.008,4.008,1.96,1.74,0.23,0.037,0.745,0.073,-0.672,4.4125,0.7,4.3,-3.61
Crimean Tatar,Bashkir,Closely related,0.95,0.983,0.0,0.67,0.0,0.67,0.77,0.348,0.293,-0.055,1.435,1.96,2.4,-0.44,0.93,0.745,0.915,0.17,0.2,0.7,0.19,0.51
Czech,Bashkir,Unrelated,0.366,0.885,0.073,0.43,0.0,0.35,0.164,0.348,0.468,0.12,2.8335,1.96,1.11,0.85,0.214,0.745,0.912,0.167,2.5675,0.7,0.2,0.5
Estonian,Bashkir,Unrelated,0.546,0.709,0.087,0.24,0.0,0.0,0.233,0.348,0.382,0.034,2.7765,1.96,1.52,0.44,0.16,0.745,0.895,0.15,2.984,0.7,0.24,0.46
Georgian,Bashkir,Unrelated,0.956,0.869,0.159,0.36,0.0,0.36,0.184,0.348,0.316,-0.032,2.7265,1.96,2.47,-0.5,0.435,0.745,0.849,0.104,1.644,0.7,0.33,0.36
Navajo,Bashkir,Unrelated,0.122,0.206,0.0,0.0,0.0,0.0,0.103,0.348,0.695,0.347,4.4965,1.96,0.84,1.12,0.12,0.745,0.894,0.149,4.242,0.7,0.29,0.4
Quechua,Bashkir,Unrelated,0.731,0.912,0.111,0.26,0.0,0.21,0.423,0.348,0.822,0.474,2.724,1.96,0.49,1.47,0.248,0.745,0.92,0.175,3.6765,0.7,0.17,0.52
Spanish,Bashkir,Unrelated,0.0,0.803,0.0,0.0,0.0,0.0,0.201,0.348,0.458,0.11,2.9405,1.96,1.87,0.1,0.359,0.745,0.914,0.169,1.9515,0.7,0.19,0.51
Swedish,Bashkir,Unrelated,0.668,0.94,0.023,0.5,0.0,0.2,0.36,0.348,0.331,-0.017,1.8325,1.96,1.74,0.23,0.489,0.745,0.873,0.128,1.382,0.7,0.28,0.42
Turkish,Bashkir,Distantly related,0.748,0.84,0.064,0.32,0.0,0.1,0.176,0.348,0.478,0.13,3.789,1.96,1.55,0.42,0.145,0.745,0.901,0.156,5.175,0.7,0.21,0.49
Uzbek,Bashkir,Distantly related,0.965,0.921,0.112,0.53,,0.0,0.41,0.348,0.52,0.172,2.2,1.96,1.2,0.77,0.04,0.745,0.865,0.12,4.3,0.7,0.33,0.37
Zulu,Bashkir,Unrelated,0.599,0.094,0.114,0.12,0.0,0.08,0.043,0.348,0.356,0.008,3.589,1.96,1.9,0.06,0.041,0.745,0.88,0.135,3.5145,0.7,0.26,0.43
Crimean Tatar,Basque,Unrelated,0.043,0.469,0.0,0.0,0.03,0.0,0.77,0.062,0.065,0.003,1.435,4.01,4.2,-0.19,0.93,0.037,0.092,0.055,0.2,4.41,3.76,0.66
Danish,Basque,Unrelated,0.066,0.482,0.29,0.0,0.05,,0.454,0.062,0.066,0.004,1.4095,4.01,3.84,0.16,0.598,0.037,0.086,0.049,0.8705,4.41,4.14,0.27
Finnish,Basque,Unrelated,0.435,0.754,0.102,0.0,0.07,0.0,0.046,0.062,0.087,0.025,4.88,4.01,4.03,-0.02,0.096,0.037,0.075,0.038,4.511,4.41,4.28,0.14
Georgian,Basque,Unrelated,0.044,0.564,0.137,0.0,0.04,0.0,0.184,0.062,0.014,-0.048,2.7265,4.01,5.1,-1.09,0.435,0.037,0.024,-0.013,1.644,4.41,5.14,-0.73
Hebrew,Basque,Unrelated,0.729,0.737,0.17,0.0,0.07,,0.203,0.062,0.003,-0.059,1.9375,4.01,6.37,-2.36,0.23,0.037,0.019,-0.018,1.8255,4.41,5.06,-0.65
Navajo,Basque,Unrelated,0.878,0.735,0.0,0.0,0.0,,0.103,0.062,0.073,0.011,4.4965,4.01,3.59,0.41,0.12,0.037,0.072,0.035,4.242,4.41,4.01,0.4
Portuguese,Basque,Unrelated,1.0,0.474,0.162,,0.08,,0.457,0.062,0.044,-0.018,1.4435,4.01,4.35,-0.34,0.437,0.037,0.046,0.009,1.508,4.41,4.61,-0.2
Quechua,Basque,Unrelated,0.151,0.448,0.0,0.0,0.02,0.0,0.423,0.062,0.035,-0.027,2.724,4.01,4.71,-0.7,0.248,0.037,0.006,-0.031,3.6765,4.41,5.93,-1.52
Slovak,Basque,Unrelated,0.0,0.487,0.0,0.0,0.0,0.0,0.233,0.062,0.027,-0.035,1.9725,4.01,4.9,-0.9,0.44,0.037,0.001,-0.036,1.1905,4.41,6.12,-1.7
Zulu,Basque,Unrelated,0.401,0.644,0.269,0.0,0.02,0.0,0.043,0.062,0.04,-0.022,3.589,4.01,4.22,-0.21,0.041,0.037,0.1,0.063,3.5145,4.41,3.31,1.11
Bashkir,Crimean Tatar,Closely related,0.95,0.983,0.0,0.67,0.0,0.67,0.348,0.77,0.34,-0.43,1.963,1.44,2.14,-0.7,0.745,0.93,0.93,0.0,0.6975,0.2,0.12,0.08
Basque,Crimean Tatar,Unrelated,0.043,0.469,0.0,0.0,0.03,0.0,0.062,0.77,0.77,0.0,4.008,1.44,0.48,0.96,0.037,0.93,0.29,-0.64,4.4125,0.2,2.26,-2.06
Danish,Crimean Tatar,Unrelated,0.957,0.978,0.0,0.2,0.45,0.0,0.454,0.77,0.52,-0.25,1.4095,1.44,1.03,0.4,0.598,0.93,0.94,0.01,0.8705,0.2,0.14,0.06
Finnish,Crimean Tatar,Unrelated,0.567,0.671,0.0,0.15,0.44,0.1,0.046,0.77,0.5,-0.27,4.88,1.44,1.59,-0.16,0.096,0.93,0.93,0.0,4.511,0.2,0.12,0.08
Georgian,Crimean Tatar,Unrelated,0.98,0.869,0.0,0.23,0.32,0.23,0.184,0.77,0.41,-0.36,2.7265,1.44,2.02,-0.59,0.435,0.93,0.93,0.0,1.644,0.2,0.16,0.05
Hebrew,Crimean Tatar,Unrelated,0.314,0.644,0.0,0.0,0.5,0.0,0.203,0.77,0.51,-0.26,1.9375,1.44,1.42,0.01,0.23,0.93,0.92,-0.01,1.8255,0.2,0.16,0.04
Navajo,Crimean Tatar,Unrelated,0.165,0.218,0.0,0.0,0.16,0.0,0.103,0.77,0.69,-0.08,4.4965,1.44,0.74,0.7,0.12,0.93,0.91,-0.02,4.242,0.2,0.18,0.03
Portuguese,Crimean Tatar,Unrelated,0.043,0.92,0.0,0.0,0.38,0.0,0.457,0.77,0.45,-0.32,1.4435,1.44,1.11,0.32,0.437,0.93,0.95,0.02,1.508,0.2,0.14,0.06
Quechua,Crimean Tatar,Unrelated,0.781,0.901,0.0,0.19,0.44,0.15,0.423,0.77,0.66,-0.11,2.724,1.44,0.82,0.62,0.248,0.93,0.94,0.01,3.6765,0.2,0.16,0.04
Slovak,Crimean Tatar,Unrelated,0.7,0.939,0.0,0.4,0.0,0.27,0.233,0.77,0.35,-0.42,1.9725,1.44,2.33,-0.89,0.44,0.93,0.92,-0.01,1.1905,0.2,0.17,0.03
Turkish,Crimean Tatar,Distantly related,0.792,0.841,0.0,0.25,0.29,0.0,0.176,0.77,0.6,-0.17,3.789,1.44,0.89,0.55,0.145,0.93,0.95,0.02,5.175,0.2,0.11,0.09
Uzbek,Crimean Tatar,Distantly related,0.914,0.906,0.0,0.43,0.0,0.0,0.41,0.77,0.75,-0.02,2.2,1.44,0.64,0.79,0.04,0.93,0.92,-0.01,4.3,0.2,0.22,-0.02
Zulu,Crimean Tatar,Unrelated,0.642,0.107,0.0,0.04,0.2,0.0,0.043,0.77,0.49,-0.28,3.589,1.44,2.14,-0.7,0.041,0.93,0.91,-0.02,3.5145,0.2,0.17,0.03
Arabic,Czech,Unrelated,0.78,0.689,0.194,0.31,0.5,0.39,0.105,0.164,0.314,0.15,4.2105,2.83,2.74,0.09,0.149,0.214,0.517,0.303,3.8215,2.57,1.36,1.21
Basque,Czech,Unrelated,0.308,0.54,0.145,0.0,0.08,0.0,0.062,0.164,0.254,0.09,4.008,2.83,2.73,0.11,0.037,0.214,0.183,-0.031,4.4125,2.57,2.53,0.04
Estonian,Czech,Unrelated,0.64,0.818,0.239,0.22,0.56,0.0,0.233,0.164,0.418,0.254,2.7765,2.83,1.54,1.29,0.16,0.214,0.434,0.22,2.984,2.57,1.59,0.98
Georgian,Czech,Unrelated,0.398,0.906,0.237,0.4,0.43,0.33,0.184,0.164,0.274,0.11,2.7265,2.83,3.03,-0.2,0.435,0.214,0.245,0.031,1.644,2.57,3.19,-0.62
Italian,Czech,Distantly related,0.308,0.725,0.153,0.0,0.52,0.0,0.253,0.164,0.397,0.233,2.611,2.83,1.98,0.85,0.275,0.214,0.428,0.214,2.813,2.57,1.84,0.73
Navajo,Czech,Unrelated,0.43,0.324,0.107,0.0,0.16,0.0,0.103,0.164,0.27,0.106,4.4965,2.83,3.05,-0.22,0.12,0.214,0.353,0.139,4.242,2.57,2.04,0.52
Quechua,Czech,Unrelated,0.636,0.861,0.133,0.29,0.37,0.22,0.423,0.164,0.369,0.205,2.724,2.83,2.51,0.33,0.248,0.214,0.461,0.247,3.6765,2.57,1.8,0.77
Slovak,Czech,Closely related,0.674,0.936,0.582,0.73,0.0,0.93,0.233,0.164,0.484,0.32,1.9725,2.83,3.44,-0.6,0.44,0.214,0.472,0.258,1.1905,2.57,2.81,-0.24
Swedish,Czech,Distantly related,0.699,0.899,0.106,0.31,0.39,0.21,0.36,0.164,0.319,0.155,1.8325,2.83,2.82,0.02,0.489,0.214,0.428,0.214,1.382,2.57,2.46,0.11
Uzbek,Czech,Unrelated,0.331,0.852,0.01,0.32,0.0,0.0,0.41,0.164,0.223,0.059,2.2,2.83,2.69,0.14,0.04,0.214,0.322,0.108,4.3,2.57,2.7,-0.13
Zulu,Czech,Unrelated,0.655,0.244,0.231,0.07,0.21,0.06,0.043,0.164,0.184,0.02,3.589,2.83,3.1,-0.26,0.041,0.214,0.298,0.084,3.5145,2.57,1.97,0.6
Basque,Danish,Unrelated,0.066,0.482,0.29,0.0,0.05,,0.062,0.454,0.392,-0.062,4.008,1.41,1.42,-0.01,0.037,0.598,0.389,-0.209,4.4125,0.87,1.32,-0.44
Crimean Tatar,Danish,Unrelated,0.957,0.978,0.0,0.2,0.45,0.0,0.77,0.454,0.497,0.043,1.435,1.41,1.91,-0.5,0.93,0.598,0.75,0.152,0.2,0.87,0.42,0.45
Finnish,Danish,Unrelated,0.547,0.673,0.154,0.21,0.44,0.0,0.046,0.454,0.672,0.218,4.88,1.41,0.79,0.62,0.096,0.598,0.78,0.182,4.511,0.87,0.38,0.5
Georgian,Danish,Unrelated,0.977,0.864,0.199,0.33,0.19,0.0,0.184,0.454,0.439,-0.015,2.7265,1.41,2.42,-1.01,0.435,0.598,0.731,0.133,1.644,0.87,0.48,0.39
Hebrew,Danish,Unrelated,0.337,0.662,0.036,0.18,0.24,,0.203,0.454,0.541,0.087,1.9375,1.41,1.47,-0.06,0.23,0.598,0.692,0.094,1.8255,0.87,0.54,0.33
Navajo,Danish,Unrelated,0.188,0.233,0.0,0.0,0.0,,0.103,0.454,0.535,0.081,4.4965,1.41,1.11,0.3,0.12,0.598,0.731,0.133,4.242,0.87,0.53,0.34
Portuguese,Danish,Distantly related,0.066,0.922,0.154,0.0,0.26,,0.457,0.454,0.58,0.126,1.4435,1.41,1.01,0.4,0.437,0.598,0.764,0.166,1.508,0.87,0.42,0.45
Quechua,Danish,Unrelated,0.762,0.881,0.063,0.15,0.24,0.0,0.423,0.454,0.625,0.171,2.724,1.41,0.81,0.6,0.248,0.598,0.766,0.168,3.6765,0.87,0.48,0.39
Slovak,Danish,Distantly related,0.657,0.942,0.074,0.4,0.0,0.0,0.233,0.454,0.435,-0.019,1.9725,1.41,2.36,-0.95,0.44,0.598,0.353,-0.245,1.1905,0.87,1.36,-0.49
Swedish,Danish,Closely related,0.699,0.977,0.21,1.0,0.89,0.0,0.36,0.454,0.689,0.235,1.8325,1.41,0.77,0.64,0.489,0.598,0.812,0.214,1.382,0.87,0.33,0.54
Zulu,Danish,Unrelated,0.65,0.121,0.165,0.09,0.12,0.0,0.043,0.454,0.478,0.024,3.589,1.41,1.3,0.11,0.041,0.598,0.723,0.125,3.5145,0.87,0.68,0.19
Arabic,Estonian,Unrelated,0.86,0.828,0.252,0.23,0.46,0.0,0.105,0.233,0.298,0.065,4.2105,2.78,2.79,-0.01,0.149,0.16,0.478,0.318,3.8215,2.98,1.81,1.18
Basque,Estonian,Unrelated,0.454,0.678,0.145,0.0,0.04,,0.062,0.233,0.11,-0.123,4.008,2.78,3.45,-0.67,0.037,0.16,0.109,-0.051,4.4125,2.98,3.43,-0.45
Czech,Estonian,Unrelated,0.64,0.818,0.239,0.22,0.56,0.0,0.164,0.233,0.329,0.096,2.8335,2.78,2.48,0.29,0.214,0.16,0.537,0.377,2.5675,2.98,1.32,1.67
Finnish,Estonian,Closely related,0.916,0.905,0.489,0.89,0.85,0.0,0.046,0.233,0.569,0.336,4.88,2.78,1.32,1.46,0.096,0.16,0.676,0.516,4.511,2.98,0.83,2.16
Georgian,Estonian,Unrelated,0.591,0.826,0.579,0.17,0.44,0.0,0.184,0.233,0.096,-0.137,2.7265,2.78,4.6,-1.82,0.435,0.16,0.39,0.23,1.644,2.98,2.19,0.79
Italian,Estonian,Unrelated,0.454,0.823,0.59,0.0,0.54,,0.253,0.233,0.194,-0.039,2.611,2.78,3.77,-1.0,0.275,0.16,0.47,0.31,2.813,2.98,1.65,1.33
Navajo,Estonian,Unrelated,0.575,0.52,0.292,0.0,0.18,,0.103,0.233,0.228,-0.005,4.4965,2.78,2.63,0.15,0.12,0.16,0.404,0.244,4.242,2.98,2.05,0.94
Quechua,Estonian,Unrelated,0.698,0.757,0.257,0.24,0.48,0.0,0.423,0.233,0.387,0.154,2.724,2.78,3.34,-0.57,0.248,0.16,0.517,0.357,3.6765,2.98,1.94,1.05
Swedish,Estonian,Unrelated,0.781,0.722,0.025,0.21,0.4,0.0,0.36,0.233,0.134,-0.099,1.8325,2.78,4.13,-1.35,0.489,0.16,0.165,0.005,1.382,2.98,4.24,-1.25
Uzbek,Estonian,Unrelated,0.546,0.75,0.013,0.19,0.0,,0.41,0.233,0.131,-0.102,2.2,2.78,3.12,-0.34,0.04,0.16,0.221,0.061,4.3,2.98,3.35,-0.37
Zulu,Estonian,Unrelated,0.947,0.335,0.464,0.06,0.21,0.0,0.043,0.233,0.168,-0.065,3.589,2.78,2.74,0.03,0.041,0.16,0.391,0.231,3.5145,2.98,1.64,1.34
Basque,Finnish,Unrelated,0.435,0.754,0.102,0.0,0.07,0.0,0.062,0.046,0.028,-0.018,4.008,4.88,5.09,-0.21,0.037,0.096,0.06,-0.036,4.4125,4.51,4.78,-0.27
Crimean Tatar,Finnish,Unrelated,0.567,0.671,0.0,0.15,0.44,0.1,0.77,0.046,0.075,0.029,1.435,4.88,7.96,-3.08,0.93,0.096,0.141,0.045,0.2,4.51,4.07,0.44
Danish,Finnish,Unrelated,0.547,0.673,0.154,0.21,0.44,0.0,0.454,0.046,0.08,0.034,1.4095,4.88,8.79,-3.91,0.598,0.096,0.232,0.136,0.8705,4.51,3.02,1.49
Estonian,Finnish,Closely related,0.916,0.905,0.489,0.89,0.85,0.0,0.233,0.046,0.38,0.334,2.7765,4.88,2.32,2.56,0.16,0.096,0.399,0.303,2.984,4.51,2.37,2.14
Georgian,Finnish,Unrelated,0.548,0.792,0.466,0.17,0.46,0.12,0.184,0.046,0.048,0.002,2.7265,4.88,7.6,-2.72,0.435,0.096,0.154,0.058,1.644,4.51,3.88,0.63
Hebrew,Finnish,Unrelated,0.706,0.877,0.0,0.07,0.41,0.0,0.203,0.046,0.024,-0.022,1.9375,4.88,8.82,-3.94,0.23,0.096,0.128,0.032,1.8255,4.51,3.8,0.71
Navajo,Finnish,Unrelated,0.557,0.617,0.057,0.0,0.19,0.0,0.103,0.046,0.085,0.039,4.4965,4.88,4.36,0.51,0.12,0.096,0.146,0.05,4.242,4.51,3.99,0.52
Portuguese,Finnish,Unrelated,0.435,0.706,0.386,0.0,0.62,0.0,0.457,0.046,0.068,0.022,1.4435,4.88,8.88,-4.0,0.437,0.096,0.106,0.01,1.508,4.51,5.63,-1.12
Quechua,Finnish,Unrelated,0.716,0.672,0.094,0.24,0.5,0.24,0.423,0.046,0.156,0.11,2.724,4.88,6.09,-1.21,0.248,0.096,0.292,0.196,3.6765,4.51,5.52,-1.01
Slovak,Finnish,Unrelated,0.565,0.725,0.066,0.32,0.0,0.2,0.233,0.046,0.039,-0.007,1.9725,4.88,7.8,-2.92,0.44,0.096,0.154,0.058,1.1905,4.51,3.91,0.6
Zulu,Finnish,Unrelated,0.898,0.361,0.34,0.06,0.21,0.06,0.043,0.046,0.071,0.025,3.589,4.88,4.53,0.35,0.041,0.096,0.14,0.044,3.5145,4.51,3.63,0.88
Arabic,Georgian,Unrelated,0.503,0.716,0.248,0.25,0.5,0.24,0.105,0.184,0.537,0.353,4.2105,2.73,1.55,1.17,0.149,0.435,0.901,0.466,3.8215,1.64,0.33,1.31
Basque,Georgian,Unrelated,0.044,0.564,0.137,0.0,0.04,0.0,0.062,0.184,0.017,-0.167,4.008,2.73,5.55,-2.83,0.037,0.435,0.011,-0.424,4.4125,1.64,5.56,-3.92
Czech,Georgian,Unrelated,0.398,0.906,0.237,0.4,0.43,0.33,0.164,0.184,0.683,0.499,2.8335,2.73,1.32,1.4,0.214,0.435,0.903,0.468,2.5675,1.64,0.42,1.22
Estonian,Georgian,Unrelated,0.591,0.826,0.579,0.17,0.44,0.0,0.233,0.184,0.774,0.59,2.7765,2.73,0.78,1.95,0.16,0.435,0.9,0.465,2.984,1.64,0.39,1.25
Italian,Georgian,Unrelated,0.044,0.754,0.702,0.0,0.67,0.0,0.253,0.184,0.434,0.25,2.611,2.73,1.83,0.9,0.275,0.435,0.756,0.321,2.813,1.64,0.73,0.91
Navajo,Georgian,Unrelated,0.166,0.356,0.361,0.0,0.24,0.0,0.103,0.184,0.734,0.55,4.4965,2.73,0.77,1.96,0.12,0.435,0.879,0.444,4.242,1.64,0.36,1.28
Quechua,Georgian,Unrelated,0.762,0.83,0.282,0.17,0.35,0.13,0.423,0.184,0.874,0.69,2.724,2.73,0.44,2.28,0.248,0.435,0.466,0.031,3.6765,1.64,1.3,0.34
Swedish,Georgian,Unrelated,0.699,0.877,0.011,0.33,0.18,0.12,0.36,0.184,0.583,0.399,1.8325,2.73,1.1,1.63,0.489,0.435,0.878,0.443,1.382,1.64,0.47,1.17
Uzbek,Georgian,Unrelated,0.933,0.822,0.018,0.26,0.0,0.0,0.41,0.184,0.396,0.212,2.2,2.73,1.54,1.18,0.04,0.435,0.845,0.41,4.3,1.64,0.42,1.22
Zulu,Georgian,Unrelated,0.644,0.203,0.655,0.16,0.22,0.12,0.043,0.184,0.701,0.517,3.589,2.73,0.91,1.82,0.041,0.435,0.87,0.435,3.5145,1.64,0.37,1.28
Arabic,Hebrew,Closely related,0.694,0.831,0.252,0.26,0.39,0.0,0.105,0.203,0.564,0.361,4.2105,1.94,0.83,1.1,0.149,0.23,0.718,0.488,3.8215,1.83,0.48,1.35
Basque,Hebrew,Unrelated,0.729,0.737,0.17,0.0,0.07,,0.062,0.203,0.345,0.142,4.008,1.94,1.41,0.53,0.037,0.23,0.194,-0.036,4.4125,1.83,1.97,-0.15
Crimean Tatar,Hebrew,Unrelated,0.314,0.644,0.0,0.0,0.5,0.0,0.77,0.203,0.34,0.137,1.435,1.94,1.46,0.48,0.93,0.23,0.523,0.293,0.2,1.83,0.94,0.88
Danish,Hebrew,Unrelated,0.337,0.662,0.036,0.18,0.24,,0.454,0.203,0.18,-0.023,1.4095,1.94,1.98,-0.04,0.598,0.23,0.524,0.294,0.8705,1.83,0.94,0.89
Finnish,Hebrew,Unrelated,0.706,0.877,0.0,0.07,0.41,0.0,0.046,0.203,0.444,0.241,4.88,1.94,1.16,0.78,0.096,0.23,0.532,0.302,4.511,1.83,0.91,0.92
Georgian,Hebrew,Unrelated,0.315,0.76,0.145,0.09,0.43,0.0,0.184,0.203,0.208,0.005,2.7265,1.94,1.96,-0.02,0.435,0.23,0.179,-0.051,1.644,1.83,2.09,-0.26
Navajo,Hebrew,Unrelated,0.851,0.609,0.081,0.1,0.23,,0.103,0.203,0.325,0.122,4.4965,1.94,1.6,0.34,0.12,0.23,0.322,0.092,4.242,1.83,1.67,0.16
Portuguese,Hebrew,Unrelated,0.729,0.625,0.309,0.0,0.55,,0.457,0.203,0.333,0.13,1.4435,1.94,1.44,0.49,0.437,0.23,0.447,0.217,1.508,1.83,1.07,0.75
Quechua,Hebrew,Unrelated,0.422,0.603,0.268,0.15,0.48,0.0,0.423,0.203,0.5,0.297,2.724,1.94,0.96,0.98,0.248,0.23,0.609,0.379,3.6765,1.83,0.7,1.13
Slovak,Hebrew,Unrelated,0.271,0.658,0.12,0.1,0.0,0.0,0.233,0.203,0.236,0.033,1.9725,1.94,1.81,0.13,0.44,0.23,0.277,0.047,1.1905,1.83,1.66,0.16
Zulu,Hebrew,Unrelated,0.672,0.442,0.25,0.06,0.24,0.0,0.043,0.203,0.494,0.291,3.589,1.94,1.03,0.91,0.041,0.23,0.612,0.382,3.5145,1.83,0.78,1.05
Arabic,Italian,Unrelated,0.424,0.864,0.28,0.0,0.42,0.0,0.105,0.253,0.501,0.248,4.2105,2.61,1.97,0.64,0.149,0.275,0.677,0.402,3.8215,2.81,0.86,1.96
Basque,Italian,Unrelated,1.0,0.695,0.014,,0.04,,0.062,0.253,0.505,0.252,4.008,2.61,1.47,1.14,0.037,0.275,0.185,-0.09,4.4125,2.81,3.71,-0.89
Czech,Italian,Distantly related,0.308,0.725,0.153,0.0,0.52,0.0,0.164,0.253,0.456,0.203,2.8335,2.61,2.43,0.18,0.214,0.275,0.71,0.435,2.5675,2.81,0.71,2.11
Estonian,Italian,Unrelated,0.454,0.823,0.59,0.0,0.54,,0.233,0.253,0.564,0.311,2.7765,2.61,1.77,0.84,0.16,0.275,0.669,0.394,2.984,2.81,0.86,1.96
Georgian,Italian,Unrelated,0.044,0.754,0.702,0.0,0.67,0.0,0.184,0.253,0.287,0.034,2.7265,2.61,3.25,-0.64,0.435,0.275,0.264,-0.011,1.644,2.81,2.94,-0.13
Navajo,Italian,Unrelated,0.878,0.655,0.501,0.0,0.19,,0.103,0.253,0.324,0.071,4.4965,2.61,2.24,0.37,0.12,0.275,0.518,0.243,4.242,2.81,1.7,1.11
