ISO 639-2,Name,Language family,Subfamily
ady,Adyghe,Northwest Caucasian,-
ara,Arabic,Afroasiatic,Semitic
ast,Asturian,Indo-European,Romance
azj,Azeri,Turkic,Oghuz
bak,Bashkir,Turkic,Kipchak
bel,Belarusian,Indo-European,Slavic
ben,Bengali,Indo-European,Indo-Aryan
bre,Breton,Indo-European,Celtic
bul,Bulgarian,Indo-European,Slavic
ces,Czech,Indo-European,Slavic
chu,Old Church Slavonic,Indo-European,Slavic
ckb,Sorani,Indo-European,Iranian
cor,Cornish,Indo-European,Celtic
crh,Crimean Tatar,Turkic,Kipchak
csb,Kashubian,Indo-European,Slavic
cym,Welsh,Indo-European,Celtic
dan,Danish,Indo-European,Germanic
deu,German,Indo-European,Germanic
ell,Greek,Indo-European,Greek
eng,English,Indo-European,Germanic
est,Estonian,Uralic,Finnic
eus,Basque,Vasconic,-
fas,Persian,Indo-European,Iranian
fin,Finnish,Uralic,Finnic
fra,French,Indo-European,Romance
frr,Northern Frisian,Indo-European,Germanic
fry,Western Frisian,Indo-European,Germanic
fur,Friulian,Indo-European,Romance
gla,Scottish Gaelic,Indo-European,Celtic
gle,Irish,Indo-European,Celtic
heb,Hebrew,Afroasiatic,Semitic
hin,Hindi,Indo-European,Indo-Aryan
hun,Hungarian,Uralic,Hungarian
hye,Armenian,Indo-European,Armenian
ita,Italian,Indo-European,Romance
izh,Ingrian,Uralic,Finnic
kan,Kannada,Dravidian,-
kaz,Kazakh,Turkic,Kipchak
kbd,Kabardian,Northwest Caucasian,-
kjh,Khakas,Turkic,Siberian
kmr,Kurmanji,Indo-European,Iranian
krl,Karelian,Uralic,Finnic
lat,Latin,Indo-European,Romance
lav,Latvian,Indo-European,Baltic
lit,Lithuanian,Indo-European,Baltic
liv,Livonian,Uralic,Finnic
lld,Ladin,Indo-European,Romance
mlt,Maltese,Afroasiatic,Semitic
mwf,Murrinh-patha,Southern Daly,-
nap,Neapolitan,Indo-European,Romance
nld,Dutch,Indo-European,Germanic
oci,Occitan,Indo-European,Romance
pol,Polish,Indo-European,Slavic
por,Portuguese,Indo-European,Romance
pus,Pashto,Indo-European,Iranian
que,Quechua,Quechua,-
ron,Romanian,Indo-European,Romance
rus,Russian,Indo-European,Slavic
san,Sanskrit,Indo-European,Indo-Aryan
slk,Slovak,Indo-European,Slavic
slv,Slovene,Indo-European,Slavic
spa,Spanish,Indo-European,Romance
sqi,Albanian,Indo-European,Albanian
swa,Swahili,Niger-Congo,Northeast Coast Bantu
syc,Classical Syriac,Afroasiatic,Semitic
tat,Tatar,Turkic,Kipchak
tel,Telugu,Dravidian,-
tuk,Turkmen,Turkic,Oghuz
tur,Turkish,Turkic,Oghuz
urd,Urdu,Indo-European,Indo-Aryan
uzb,Uzbek,Turkic,Karluk
vot,Votic,Uralic,Finnic
yid,Yiddish,Indo-European,Germanic
zul,Zulu,Niger-Congo,Southern Bantu
-,Old Irish,Indo-European,Celtic
-,Middle High German,Indo-European,Germanic
-,Middle Low German,Indo-European,Germanic
-,Old Saxon,Indo-European,Germanic
-,Old English,Indo-European,Germanic